iteracija,zavrsetak_projekta,prekoracen_rok,T1_ucinak,T1_A1.2_ucinak,T2_ucinak,T3_ucinak,T3_A4.1_ucinak,T4_ucinak,T4_A4.1_ucinak,T5_ucinak,T5_A3.2_ucinak,T6_ucinak,T7_ucinak,T8_ucinak,T8_A3.1_ucinak,T8_A3.2_ucinak,T8_A4.1_ucinak,T8_A5.1_ucinak,T8_A5.2_ucinak,T9_ucinak,T9_A3.1_ucinak,P1_ucinak,P1_A5.2_ucinak
37,36.53271157236074,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27329092447510817,0.26337555061392504,0.28860080473456745,0.3140167774992477,0.5327115723607351,0.5519033495422362,0.0,0.0,0.0,0.0
38,36.422085379397416,1,0.0,0.0,0.0,1.350486634348814,1.422085379397413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5917086105508242,-0.3593087731895568
39,38.44778453896538,1,0.0,0.0,0.0,2.059952074777637,0.6911121509360105,1.3021163728824312,0.6720851080186916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8388119284582782,1.2469041628470308,0.0,0.0
40,38.06015255375751,1,1.1467380315369287,0.6521246987233054,1.501695405074524,0.0,0.0,0.0,0.0,3.060152553757513,0.5055425031193964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7937455111141843,-0.20609251112293214
41,36.0,0,1.0064661091932952,0.674599754710584,0.0,0.0,0.0,1.0576162812828964,0.410168628734078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,35.61511553218369,0,0.0,0.0,1.4557437721470299,1.7784196253090903,0.61511553218369,0.0,0.0,0.0,0.0,0.648810957766488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8034645058516737,-0.21876795448621472
43,36.850950165920416,1,1.6306725323434808,0.5799741326202661,0.0,0.0,0.0,0.0,0.0,1.850950165920419,0.4959010270294224,1.1036326913247123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,36.59759552354362,1,1.1136512892095394,0.955425970012061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7602117986693524,0.9295742762232303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3319787526796157,-0.43657644154513275
45,38.731288909352706,1,0.6755258384928988,0.4647963911642278,1.5705567199234902,0.0,0.0,0.6955002862687534,0.3946550000751098,1.4261283286518374,0.6635793512635075,0.565970803978563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5798371435119456,1.546289569892114,-0.570538428296347,-0.2740579734770904
46,38.21013772651061,1,1.0764148822223663,0.7131514799976635,0.0,1.983601201149729,0.9264529748650483,0.0,0.0,0.0,0.0,0.5853523506664347,0.0,0.2201283132740841,0.3301642091892224,0.1950117923915155,0.15331454961198596,0.21756078072151902,0.489652725586911,1.7516421518475767,0.65317517643611,-0.6225824361342084,-0.22040903007808488
47,38.45486248690857,1,0.0,0.0,0.0,0.0,0.0,1.5310161932577524,0.6220709820748282,2.832791504833735,0.7672111002892742,1.1813969572153322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7353015955517342,-0.2382170288702068
48,38.19764029017622,1,0.0,0.0,0.0,2.1249417509675648,0.9880847526533392,0.6495863549083709,0.5049540382729023,1.7046014992499838,0.6789762396941246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,37.189711122128855,1,0.8283123453232464,0.6607519861497169,0.0,0.0,0.0,0.0,0.0,1.2230233299291147,0.9490757250806646,0.0,1.1897111221288503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
